id,Brand,Model,Processor,GPU,RAM,Storage,Display,Average Price (SAR),Purpose,CPU Score,GPU Score,Battery Life,purposeScoreGaming,purposeScoreWork,purposeScoreProgramming,purposeScoreDesign,totalScore
1,Acer,Predator Triton Neo 16 PTN16-51-932N,Intel Core Ultra 9 185H,GeForce RTX 4070,32GB,1TB SSD,"16"" WQXGA",7152,Gaming,29512,19586,8,6.0,4.0,4.5,5.5,5.0
2,Acer,Nitro 5,AMD Ryzen 9 5900HX,GeForce RTX 3080,16GB,1TB SSD,"15.6"" QHD 165Hz",7152,Gaming,22467,16457,5,4.7,2.3,2.7,3.5,3.3
3,Acer,Swift Go 14,Intel Core Ultra 5,Integrated,16GB,512GB SSD,"14"" FHD",4500,Programming and AI,21987,150,15,2.0,4.3,3.2,2.0,2.2
4,Acer,Aspire 5,Intel Core i5,Integrated,8GB,512GB SSD,14-inch Full HD,2625,Studying,14855,150,8,2.0,2.1,2.0,2.0,2.0
5,Acer,Aspire Go 14,AMD Ryzen 3 7320,Integrated,8GB,128GB SSD,14-inch 1920x1200,1125,Studying,8614,150,14,2.0,2.8,2.0,2.0,2.0
6,Apple,MacBook Pro 16-inch (M4 Pro),Apple M4 Pro,Integrated,16GB,512GB SSD,"16.2"" Liquid Retina XDR",9000,Designing,33137,600,22,2.0,6.5,4.8,2.0,3.4
7,Apple,MacBook Pro M3,Apple M3,Integrated,16GB,512GB SSD,"14.2"" Liquid Retina XDR",8500,Designing,19239,600,18,2.0,4.7,3.0,2.0,2.3
8,Apple,MacBook Air M3,Apple M3,Integrated,8GB,256GB SSD,13.6-inch Retina,4124,Studying,19239,600,18,2.0,4.4,2.6,2.0,2.0
9,Apple,MacBook Air M1,Apple M1,Integrated,8GB,256GB SSD,13.3-inch Retina,3750,Studying,14154,600,15,2.0,3.4,2.0,2.0,2.0
10,Apple,MacBook Air M3,Apple M3,Integrated,16GB,256GB SSD,13.3-inch Retina,4125,General,19239,600,18,2.0,4.7,3.0,2.0,2.3
11,ASUS,ROG Zephyrus G14,AMD Ryzen 7 8845HS,GeForce RTX 4050,32GB,1TB SSD,"14"" 3K OLED 120Hz",7081,Gaming,28695,14418,6,4.8,3.6,4.3,4.6,4.3
12,ASUS,ROG Zephyrus G16 GU605MZ,Intel Core Ultra 9 185H,GeForce RTX 4080,32GB,1TB SSD,"16"" 2.5K WQXGA",11052,Gaming,29512,25183,6,7.4,3.6,4.4,6.4,5.5
13,ASUS,TUF Gaming F15,Intel Core i7 13620H,GeForce RTX 4050,16GB,1TB SSD,"15.6"" FHD 144Hz",3873,Gaming,24677,14418,12,4.3,3.9,3.3,3.1,3.7
14,ASUS,TUF Gaming A15,AMD Ryzen 7 7735HS,GeForce RTX 4060,16GB,1TB SSD,"15.6"" FHD 144Hz",3873,Gaming,23734,17621,12,5.1,3.8,3.2,3.7,3.9
15,Asus,Zenbook Pro Duo 15,Intel Core i9,GeForce RTX 3070,32GB,1TB SSD,"15.6"" 4K OLED + Secondary ScreenPad Plus",12000,Designing,15384,15403,3,4.5,2.0,2.7,4.7,3.5
16,ASUS,ProArt Studiobook,AMD Ryzen 9 5900HX,GeForce RTX 3060,32GB,2TB SSD,"16"" 4K OLED",12500,Designing,24656,13311,8,4.4,3.6,4.0,4.4,4.1
17,Asus,Zenbook S 14 (UX5406),Intel Core Ultra 7 258V,Integrated,32GB,512GB SSD,"14"" OLED",5625,Programming and AI,19597,150,14,2.0,4.5,3.7,2.1,2.8
18,Asus,ROG Strix Scar 17 X3D,AMD Ryzen 9 7945HX3D,GeForce RTX 4090,32GB,1TB SSD,"17.3"" QHD",13500,Programming and AI,56802,27761,3,9.0,5.1,7.3,6.8,7.1
19,Asus,Zenbook S 16,AMD Ryzen AI 9 365,Integrated,24GB,1TB SSD,"16"" 2880 x 1800 pixels",5250,Programming and AI,28971,150,14,2.0,4.9,4.3,2.0,3.0
20,Asus,Zenbook 14 OLED,Intel Core i7 1260P,Integrated,16GB,512GB SSD,14-inch OLED,5249,Studying,16995,150,15,2.0,3.9,2.6,2.0,2.0
21,Asus,Vivobook Go 15 OLED,AMD Ryzen 5 7520U,Integrated,8GB,256GB SSD,15.6-inch OLED,1875,Studying,9186,150,10,2.0,2.0,2.0,2.0,2.0
22,Asus,Chromebook Plus CX34,Core i3-1215U,Integrated,8GB,128GB eMMC,14-inch,1612,Studying,10802,150,10,2.0,2.2,2.0,2.0,2.0
23,Asus,ROG Zephyrus G14,AMD Ryzen 9 5900HS,GeForce RTX 3060,32GB,1TB SSD,14-inch,12750,Gaming,21530,13311,8,4.2,3.4,3.6,4.4,3.9
24,Asus,ZenBook S 13 OLED,Intel Core i7-1355U,Integrated,32GB,1TB SSD,13.3-inch OLED,5250,General,14724,150,16,2.0,4.5,3.3,2.1,2.7
